,Model 1 — Spend Propensity,Model 2 — Spend Amount
avg_retention,0.3557359911148723,0.12207455494165018
account_age_days,0.2039095269292403,0.2008115082513536
seasons_active,0.15210882450758131,0.013830064960930909
cohort_year,0.044640950068201186,0.04827106264315096
avg_session_mins,0.04129714953701163,0.1067147960718357
avg_esports_watch_hrs,0.039838871435894194,0.11021815917224238
avg_sessions_per_week,0.035287003919862885,0.09719413789669257
avg_agent_diversity,0.034998289390861095,0.053414591546248266
avg_cross_platform_hrs,0.03224816961865289,0.07635167407803574
avg_rank_score,0.024865363384772285,0.10358264610146369
peak_rank_score,0.02011766791264188,0.06502071291248206
is_cross_platform,0.010962861707870293,0.0017459374422641105
is_esports_watcher,0.003989330472537652,0.0007701539816498304
